region,district,ward
"morogoro","Morogoro","Kibogwa"
"morogoro","Morogoro","Kibuko"
"morogoro","Morogoro","Kibungo"
"morogoro","Morogoro","Kidugalo"
"morogoro","Morogoro","Kinole"
"morogoro","Morogoro","Kiroka"
"morogoro","Morogoro","Kisaki"
"morogoro","Morogoro","Kisemu"
"morogoro","Morogoro","Kolero"
"morogoro","Morogoro","Konde"
"morogoro","Morogoro","Lundi"
"morogoro","Morogoro","Matuli"
"morogoro","Morogoro","Mikese"
"morogoro","Morogoro","Mkalambani"
"morogoro","Morogoro","Mkulazi"
"morogoro","Morogoro","Mkuyuni"
"morogoro","Morogoro","Mngazi"
"morogoro","Morogoro","Mtombozi"
"morogoro","Morogoro","Mvuha"
"morogoro","Morogoro","Ngerengere"
"morogoro","Morogoro","Selembala"
"morogoro","Morogoro","Singisa"
"morogoro","Morogoro","Tawa"
"morogoro","Morogoro","Tegetero"
"morogoro","Morogoro","Tomondo"
"morogoro","Morogoro","Tununguo"
"morogoro","Morogoro CBD","Bigwa"
"morogoro","Morogoro CBD","Boma"
"morogoro","Morogoro CBD","Chamwino"
"morogoro","Morogoro CBD","Kauzeni"
"morogoro","Morogoro CBD","Kichangani"
"morogoro","Morogoro CBD","Kihonda"
"morogoro","Morogoro CBD","Kihonda Maghorofani"
"morogoro","Morogoro CBD","Kilakala"
"morogoro","Morogoro CBD","Kingo"
"morogoro","Morogoro CBD","Kingolwira"
"morogoro","Morogoro CBD","Kiwanja Cha Ndege"
"morogoro","Morogoro CBD","Luhungo"
"morogoro","Morogoro CBD","Lukobe"
"morogoro","Morogoro CBD","Mafiga"
"morogoro","Morogoro CBD","Mafisa"
"morogoro","Morogoro CBD","Magadu"
"morogoro","Morogoro CBD","Mazimbu"
"morogoro","Morogoro CBD","Mbuyuni"
"morogoro","Morogoro CBD","Mindu"
"morogoro","Morogoro CBD","Mji Mkuu"
"morogoro","Morogoro CBD","Mji Mpya"
"morogoro","Morogoro CBD","Mkundi"
"morogoro","Morogoro CBD","Mlimani"
"morogoro","Morogoro CBD","Mwembesongo"
"morogoro","Morogoro CBD","Mzinga"
"morogoro","Morogoro CBD","Sabasaba"
"morogoro","Morogoro CBD","Sultani Area"
"morogoro","Morogoro CBD","Tungi"
"morogoro","Morogoro CBD","Uwanja Wa Taifa"
"morogoro","Mvomero","Bunduki"
"morogoro","Mvomero","Dakawa"
"morogoro","Mvomero","Diongoya"
"morogoro","Mvomero","Doma"
"morogoro","Mvomero","Hembeti"
"morogoro","Mvomero","Homboza"
"morogoro","Mvomero","Kanga"
"morogoro","Mvomero","Kibati"
"morogoro","Mvomero","Kichangani"
"morogoro","Mvomero","Kikeo"
"morogoro","Mvomero","Kinda"
"morogoro","Mvomero","Langali"
"morogoro","Mvomero","Luale"
"morogoro","Mvomero","Lubungo"
"morogoro","Mvomero","Mangae"
"morogoro","Mvomero","Maskati"
"morogoro","Mvomero","Melela"
"morogoro","Mvomero","Mgeta"
"morogoro","Mvomero","Mhonda"
"morogoro","Mvomero","Mkindo"
"morogoro","Mvomero","Mlali"
"morogoro","Mvomero","Msongozi"
"morogoro","Mvomero","Mtibwa"
"morogoro","Mvomero","Mvomero"
"morogoro","Mvomero","Mziha"
"morogoro","Mvomero","Mzumbe"
"morogoro","Mvomero","Nyandira"
"morogoro","Mvomero","Pemba"
"morogoro","Mvomero","Sungaji"
"morogoro","Mvomero","Tchenzema"
"morogoro","Ulanga","Chirombola"
"morogoro","Ulanga","Euga"
"morogoro","Ulanga","Ilonga"
"morogoro","Ulanga","Iragua"
"morogoro","Ulanga","Isongo"
"morogoro","Ulanga","Ketaketa"
"morogoro","Ulanga","Kichangani"
"morogoro","Ulanga","Lukande"
"morogoro","Ulanga","Lupiro"
"morogoro","Ulanga","Mahenge Mjini"
"morogoro","Ulanga","Mawasiliano"
"morogoro","Ulanga","Mbuga"
"morogoro","Ulanga","Milola"
"morogoro","Ulanga","Minepa"
"morogoro","Ulanga","Msogezi"
"morogoro","Ulanga","Mwaya"
"morogoro","Ulanga","Nawenge"
"morogoro","Ulanga","Ruaha"
"morogoro","Ulanga","Sali"
"morogoro","Ulanga","Uponera"
"morogoro","Ulanga","Vigoi"
"ruvuma","Mbinga","Amani Makolo"
"ruvuma","Mbinga","Betrehemu"
"ruvuma","Mbinga","Kagugu"
"ruvuma","Mbinga","Kambarage"
"ruvuma","Mbinga","Kihangi Mahuka"
"ruvuma","Mbinga","Kihungu"
"ruvuma","Mbinga","Kikolo"
"ruvuma","Mbinga","Kilimani"
"ruvuma","Mbinga","Kingonsera"
"ruvuma","Mbinga","Kipapa"
"ruvuma","Mbinga","Kipololo"
"ruvuma","Mbinga","Kitanda"
"ruvuma","Mbinga","Kitumbalomo"
"ruvuma","Mbinga","Kitura"
"ruvuma","Mbinga","Langiro"
"ruvuma","Mbinga","Linda"
"ruvuma","Mbinga","Litembo"
"ruvuma","Mbinga","Litumbandyosi"
"ruvuma","Mbinga","Luhuwiko"
"ruvuma","Mbinga","Lukarasi"
"ruvuma","Mbinga","Lusonga"
"ruvuma","Mbinga","Luwaita"
"ruvuma","Mbinga","Maguu"
"ruvuma","Mbinga","Mapera"
"ruvuma","Mbinga","Masumuni"
"ruvuma","Mbinga","Matarawe"
"ruvuma","Mbinga","Mateka"
"ruvuma","Mbinga","Matiri"
"ruvuma","Mbinga","Mbambi"
"ruvuma","Mbinga","Mbangamao"
"ruvuma","Mbinga","Mbinga Mjini"
"ruvuma","Mbinga","Mbinga Mjini B"
"ruvuma","Mbinga","Mbuji"
"ruvuma","Mbinga","Mhongozi"
"ruvuma","Mbinga","Mikalanga"
"ruvuma","Mbinga","Mkako"
"ruvuma","Mbinga","Mkumbi"
"ruvuma","Mbinga","Mpapa"
"ruvuma","Mbinga","Mpepai"
"ruvuma","Mbinga","Muungano"
"ruvuma","Mbinga","Myangayanga"
"ruvuma","Mbinga","Namswea"
"ruvuma","Mbinga","Ngima"
"ruvuma","Mbinga","Nyoni"
"ruvuma","Mbinga","Ruanda"
"ruvuma","Mbinga","Ukata"
"ruvuma","Mbinga","Utiri"
"ruvuma","Mbinga","Wukiro"
"ruvuma","Namtumbo","Hanga"
"ruvuma","Namtumbo","Kitanda"
"ruvuma","Namtumbo","Ligera"
"ruvuma","Namtumbo","Likuyuseka"
"ruvuma","Namtumbo","Limamu"
"ruvuma","Namtumbo","Lisimonji"
"ruvuma","Namtumbo","Litola"
"ruvuma","Namtumbo","Luchili"
"ruvuma","Namtumbo","Luegu"
"ruvuma","Namtumbo","Lusewa"
"ruvuma","Namtumbo","Magazini"
"ruvuma","Namtumbo","Mchomoro"
"ruvuma","Namtumbo","Mgombasi"
"ruvuma","Namtumbo","Mkongo"
"ruvuma","Namtumbo","Mkongo Gulioni"
"ruvuma","Namtumbo","Mputa"
"ruvuma","Namtumbo","Msindo"
"ruvuma","Namtumbo","Msisima"
"ruvuma","Namtumbo","Namabengo"
"ruvuma","Namtumbo","Namtumbo"
"ruvuma","Namtumbo","Rwinga"
"ruvuma","Nyasa","Chiwanda"
"ruvuma","Nyasa","Kihagara"
"ruvuma","Nyasa","Kilosa"
"ruvuma","Nyasa","Kingerikiti"
"ruvuma","Nyasa","Linga"
"ruvuma","Nyasa","Liparamba"
"ruvuma","Nyasa","Lipingo"
"ruvuma","Nyasa","Lituhi"
"ruvuma","Nyasa","Liuli"
"ruvuma","Nyasa","Liwundi"
"ruvuma","Nyasa","Luhangarasi"
"ruvuma","Nyasa","Lumeme"
"ruvuma","Nyasa","Mbaha"
"ruvuma","Nyasa","Mbambabay"
"ruvuma","Nyasa","Mipotopoto"
"ruvuma","Nyasa","Mpepo"
"ruvuma","Nyasa","Mtipwili"
"ruvuma","Nyasa","Ngumbo"
"ruvuma","Nyasa","Tingi"
"ruvuma","Nyasa","Upolo"
"ruvuma","Songea","Gumbiro"
"ruvuma","Songea","Kilagano"
"ruvuma","Songea","Kizuka"
"ruvuma","Songea","Liganga"
"ruvuma","Songea","Lilahi"
"ruvuma","Songea","Litapwasi"
"ruvuma","Songea","Litisha"
"ruvuma","Songea","Lituta"
"ruvuma","Songea","Magagula"
"ruvuma","Songea","Mahanje"
"ruvuma","Songea","Maposeni"
"ruvuma","Songea","Mateteleka"
"ruvuma","Songea","Matimila"
"ruvuma","Songea","Matumbi"
"ruvuma","Songea","Mbinga Mhalule"
"ruvuma","Songea","Mkongotema"
"ruvuma","Songea","Mpandangindo"
"ruvuma","Songea","Mpitimbi"
"ruvuma","Songea","Mtyangimbole"
"ruvuma","Songea","Muhukuru"
"ruvuma","Songea","Ndongosi"
"ruvuma","Songea","Parangu"
"ruvuma","Songea","Peramiho"
"ruvuma","Songea","Wino"
"ruvuma","Songea CBD","Bombambili"
"ruvuma","Songea CBD","Lilambo"
"ruvuma","Songea CBD","Lizaboni"
"ruvuma","Songea CBD","Majengo"
"ruvuma","Songea CBD","Mashangano"
"ruvuma","Songea CBD","Matarawe"
"ruvuma","Songea CBD","Mateka"
"ruvuma","Songea CBD","Matogoro"
"ruvuma","Songea CBD","Mfaranyaki"
"ruvuma","Songea CBD","Misufini"
"ruvuma","Songea CBD","Mjimwema"
"ruvuma","Songea CBD","Mjini"
"ruvuma","Songea CBD","Mletele"
"ruvuma","Songea CBD","Msamala"
"ruvuma","Songea CBD","Mwengemshindo"
"ruvuma","Songea CBD","Ndilimalitembo"
"ruvuma","Songea CBD","Ruhuwiko"
"ruvuma","Songea CBD","Ruvuma"
"ruvuma","Songea CBD","Seedfarm"
"ruvuma","Songea CBD","Subira"
"ruvuma","Songea CBD","Tanga"
"ruvuma","Tunduru","Chiwana"
"ruvuma","Tunduru","Jakika"
"ruvuma","Tunduru","Kalulu"
"ruvuma","Tunduru","Kidodoma"
"ruvuma","Tunduru","Ligoma"
"ruvuma","Tunduru","Ligunga"
"ruvuma","Tunduru","Lukumbule"
"ruvuma","Tunduru","Majengo"
"ruvuma","Tunduru","Majimaji"
"ruvuma","Tunduru","Marumba"
"ruvuma","Tunduru","Masonya"
"ruvuma","Tunduru","Matemanga"
"ruvuma","Tunduru","Mbati"
"ruvuma","Tunduru","Mbesa"
"ruvuma","Tunduru","Mchangani"
"ruvuma","Tunduru","Mchesi"
"ruvuma","Tunduru","Mchoteka"
"ruvuma","Tunduru","Mchuluka"
"ruvuma","Tunduru","Mindu"
"ruvuma","Tunduru","Misechela"
"ruvuma","Tunduru","Mlingoti Mashariki"
"ruvuma","Tunduru","Mlingotini Magharibi"
"ruvuma","Tunduru","Mtina"
"ruvuma","Tunduru","Muhuwesi"
"ruvuma","Tunduru","Nakapanya"
"ruvuma","Tunduru","Nakayaya"
"ruvuma","Tunduru","Nalasi Magharibi"
"ruvuma","Tunduru","Nalasi Mashariki"
"ruvuma","Tunduru","Namakambale"
"ruvuma","Tunduru","Namasakata"
"ruvuma","Tunduru","Namiungo"
"ruvuma","Tunduru","Nampungu"
"ruvuma","Tunduru","Namwinyu"
"ruvuma","Tunduru","Nandembo"
"ruvuma","Tunduru","Nanjoka"
"ruvuma","Tunduru","Ngapa"
"ruvuma","Tunduru","Sisi Kwa Sisi"
"ruvuma","Tunduru","Tinginya"
"ruvuma","Tunduru","Tuwemacho"
"arusha","Arumeru","Akheri"
"arusha","Arumeru","Ambureni"
"arusha","Arumeru","Imbaseni"
"arusha","Arumeru","Kikatiti"
"arusha","Arumeru","Kikwe"
"arusha","Arumeru","King'ori"
"arusha","Arumeru","Leguruki"
"arusha","Arumeru","Majengo"
"arusha","Arumeru","Maji Ya Chai"
"arusha","Arumeru","Makiba"
"arusha","Arumeru","Malula"
"arusha","Arumeru","Maroroni"
"arusha","Arumeru","Maruvango"
"arusha","Arumeru","Mbuguni"
"arusha","Arumeru","Ngabobo"
"arusha","Arumeru","Ngarenanyuki"
"arusha","Arumeru","Nkoanekoli"
"arusha","Arumeru","Nkoanrua"
"arusha","Arumeru","Nkoaranga"
"arusha","Arumeru","Nkoarisambu"
"arusha","Arumeru","Poli"
"arusha","Arumeru","Seela Sing'isi"
"arusha","Arumeru","Shambarai Burka"
"arusha","Arumeru","Songoro"
"arusha","Arumeru","Usa River"
"arusha","Arumeru","Uwiro"
"arusha","Arusha","Bangata"
"arusha","Arusha","Bwawani"
"arusha","Arusha","Ilboru"
"arusha","Arusha","Ilkiding'a"
"arusha","Arusha","Kimnyaki"
"arusha","Arusha","Kiranyi"
"arusha","Arusha","Kisongo"
"arusha","Arusha","Kiutu"
"arusha","Arusha","Laroi"
"arusha","Arusha","Lemanyata"
"arusha","Arusha","Mateves"
"arusha","Arusha","Mlangarini"
"arusha","Arusha","Moivo"
"arusha","Arusha","Musa"
"arusha","Arusha","Mwandet"
"arusha","Arusha","Nduruma"
"arusha","Arusha","Oldonyosambu"
"arusha","Arusha","Oldonyowass"
"arusha","Arusha","Oljoro"
"arusha","Arusha","Olkokola"
"arusha","Arusha","Olmotonyi"
"arusha","Arusha","Olorien"
"arusha","Arusha","Olturoto"
"arusha","Arusha","Olturumet"
"arusha","Arusha","Sambasha"
"arusha","Arusha","Sokon Ii"
"arusha","Arusha","Tarakwa"
"arusha","Arusha CBD","Baraa"
"arusha","Arusha CBD","Daraja Ii"
"arusha","Arusha CBD","Elerai"
"arusha","Arusha CBD","Engutoto Block"
"arusha","Arusha CBD","Kaloleni"
"arusha","Arusha CBD","Kati"
"arusha","Arusha CBD","Kimandolu"
"arusha","Arusha CBD","Lemara"
"arusha","Arusha CBD","Levolosi"
"arusha","Arusha CBD","Moivaro"
"arusha","Arusha CBD","Moshono"
"arusha","Arusha CBD","Muriet"
"arusha","Arusha CBD","Ngarenaro"
"arusha","Arusha CBD","Olasiti"
"arusha","Arusha CBD","Olmoti"
"arusha","Arusha CBD","Olorieni"
"arusha","Arusha CBD","Osunyai Jr"
"arusha","Arusha CBD","Sakina"
"arusha","Arusha CBD","Sekei"
"arusha","Arusha CBD","Sinoni"
"arusha","Arusha CBD","Sokon 1"
"arusha","Arusha CBD","Sombetini"
"arusha","Arusha CBD","Terrat"
"arusha","Arusha CBD","Themi"
"arusha","Arusha CBD","Unga Limited"
"arusha","Karatu","Baray"
"arusha","Karatu","Buger"
"arusha","Karatu","Daa"
"arusha","Karatu","Endabashi"
"arusha","Karatu","Endamaghang"
"arusha","Karatu","Endamarariek"
"arusha","Karatu","Ganako"
"arusha","Karatu","Kansay"
"arusha","Karatu","Karatu"
"arusha","Karatu","Mang'ola"
"arusha","Karatu","Mbulumbulu"
"arusha","Karatu","Oldeani"
"arusha","Karatu","Qurus"
"arusha","Karatu","Rhotia"
"arusha","Longido","Elang'atadapash"
"arusha","Longido","Engarenaibor"
"arusha","Longido","Engikaret"
"arusha","Longido","Gelai Lumbwa"
"arusha","Longido","Gelai Meirugoi"
"arusha","Longido","Ilorienito"
"arusha","Longido","Kamwanga"
"arusha","Longido","Ketumbeine"
"arusha","Longido","Kimokouwa"
"arusha","Longido","Longido"
"arusha","Longido","Matale A"
"arusha","Longido","Mundarara"
"arusha","Longido","Namanga"
"arusha","Longido","Noondoto"
"arusha","Longido","Olmolog"
"arusha","Longido","Orbomba"
"arusha","Longido","Sinya"
"arusha","Longido","Tingatinga"
"arusha","Monduli","Engaruka"
"arusha","Monduli","Engutoto"
"arusha","Monduli","Esilalei"
"arusha","Monduli","Lashaine"
"arusha","Monduli","Lemooti"
"arusha","Monduli","Lepurko"
"arusha","Monduli","Lolkisale"
"arusha","Monduli","Majengo"
"arusha","Monduli","Makuyuni"
"arusha","Monduli","Meserani"
"arusha","Monduli","Mfereji"
"arusha","Monduli","Migungani"
"arusha","Monduli","Moita"
"arusha","Monduli","Monduli Juu"
"arusha","Monduli","Monduli Mjini"
"arusha","Monduli","Mswakini"
"arusha","Monduli","Mto Wa Mbu"
"arusha","Monduli","Naalarami"
"arusha","Monduli","Selela"
"arusha","Monduli","Sepeko"
"arusha","Ngorongoro","Alailelai"
"arusha","Ngorongoro","Alaitolei"
"arusha","Ngorongoro","Arash"
"arusha","Ngorongoro","Digodigo"
"arusha","Ngorongoro","Enduleni"
"arusha","Ngorongoro","Engaresero"
"arusha","Ngorongoro","Enguserosambu"
"arusha","Ngorongoro","Eyasi"
"arusha","Ngorongoro","Kakesio"
"arusha","Ngorongoro","Kirangi"
"arusha","Ngorongoro","Maalon"
"arusha","Ngorongoro","Malambo"
"arusha","Ngorongoro","Misigiyo"
"arusha","Ngorongoro","Nainokanoka"
"arusha","Ngorongoro","Naiyobi"
"arusha","Ngorongoro","Ngoile"
"arusha","Ngorongoro","Ngorongoro"
"arusha","Ngorongoro","Olbalbal"
"arusha","Ngorongoro","Oldonyosambu"
"arusha","Ngorongoro","Oloipiri"
"arusha","Ngorongoro","Oloirien Magaiduru"
"arusha","Ngorongoro","Ololosokwan"
"arusha","Ngorongoro","Orgosorok"
"arusha","Ngorongoro","Pinyinyi"
"arusha","Ngorongoro","Piyaya"
"arusha","Ngorongoro","Sale"
"arusha","Ngorongoro","Samunge"
"arusha","Ngorongoro","Soitsambu"
"dodoma","Bahi","Babayu"
"dodoma","Bahi","Bahi"
"dodoma","Bahi","Chali"
"dodoma","Bahi","Chibelela"
"dodoma","Bahi","Chifutuka"
"dodoma","Bahi","Chikola"
"dodoma","Bahi","Chipanga"
"dodoma","Bahi","Ibihwa"
"dodoma","Bahi","Ibugule"
"dodoma","Bahi","Ilindi"
"dodoma","Bahi","Kigwe"
"dodoma","Bahi","Lamaiti"
"dodoma","Bahi","Makanda"
"dodoma","Bahi","Mpalanga"
"dodoma","Bahi","Mpamamtwa"
"dodoma","Bahi","Mpinga"
"dodoma","Bahi","Msisi"
"dodoma","Bahi","Mtitaa"
"dodoma","Bahi","Mundemu"
"dodoma","Bahi","Mwitikira"
"dodoma","Bahi","Nondwa"
"dodoma","Bahi","Zanka"
"dodoma","Chamwino","Buigiri"
"dodoma","Chamwino","Chamwino"
"dodoma","Chamwino","Chiboli"
"dodoma","Chamwino","Chilonwa"
"dodoma","Chamwino","Chinugulu"
"dodoma","Chamwino","Dabalo"
"dodoma","Chamwino","Fufu"
"dodoma","Chamwino","Handali"
"dodoma","Chamwino","Haneti"
"dodoma","Chamwino","Huzi"
"dodoma","Chamwino","Idifu"
"dodoma","Chamwino","Igandu"
"dodoma","Chamwino","Ikombolinga"
"dodoma","Chamwino","Ikowa"
"dodoma","Chamwino","Iringa Mvumi"
"dodoma","Chamwino","Itiso"
"dodoma","Chamwino","Loje"
"dodoma","Chamwino","Majeleko"
"dodoma","Chamwino","Makang'wa"
"dodoma","Chamwino","Manchali"
"dodoma","Chamwino","Manda"
"dodoma","Chamwino","Manzase"
"dodoma","Chamwino","Membe"
"dodoma","Chamwino","Mlowa Barabarani"
"dodoma","Chamwino","Mlowa Bwawani"
"dodoma","Chamwino","Mpwayungu"
"dodoma","Chamwino","Msamalo"
"dodoma","Chamwino","Msanga"
"dodoma","Chamwino","Muungano"
"dodoma","Chamwino","Mvumi Makulu"
"dodoma","Chamwino","Mvumi Misheni"
"dodoma","Chamwino","Nghaheleze"
"dodoma","Chamwino","Nghambaku"
"dodoma","Chamwino","Nhinhi"
"dodoma","Chamwino","Segala"
"dodoma","Chamwino","Zajilwa"
"dodoma","Chemba","Babayu"
"dodoma","Chemba","Chandama"
"dodoma","Chemba","Chemba"
"dodoma","Chemba","Churuku"
"dodoma","Chemba","Dalai"
"dodoma","Chemba","Farkwa"
"dodoma","Chemba","Goima"
"dodoma","Chemba","Gwandi"
"dodoma","Chemba","Jangalo"
"dodoma","Chemba","Kidoka"
"dodoma","Chemba","Kimaha"
"dodoma","Chemba","Kinyamshindo"
"dodoma","Chemba","Kwamtoro"
"dodoma","Chemba","Lahoda"
"dodoma","Chemba","Lalta"
"dodoma","Chemba","Makorongo"
"dodoma","Chemba","Mondo"
"dodoma","Chemba","Mpendo"
"dodoma","Chemba","Mrijo"
"dodoma","Chemba","Msaada"
"dodoma","Chemba","Ovada"
"dodoma","Chemba","Paranga"
"dodoma","Chemba","Sanzawa"
"dodoma","Chemba","Songolo"
"dodoma","Chemba","Soya"
"dodoma","Chemba","Tumbakose"
"dodoma","Dodoma","Chahwa"
"dodoma","Dodoma","Chang'ombe"
"dodoma","Dodoma","Chigongwe"
"dodoma","Dodoma","Chihanga"
"dodoma","Dodoma","Hombolo Bwawani"
"dodoma","Dodoma","Hombolo Makulu"
"dodoma","Dodoma","Ipagala Mlimwa"
"dodoma","Dodoma","Ipala"
"dodoma","Dodoma","Iyumbu"
"dodoma","Dodoma","Kikombo"
"dodoma","Dodoma","Makutopora"
"dodoma","Dodoma","Mbabala"
"dodoma","Dodoma","Mbalawala"
"dodoma","Dodoma","Mnadani"
"dodoma","Dodoma","Mpunguzi"
"dodoma","Dodoma","Msalato"
"dodoma","Dodoma","Mtumba"
"dodoma","Dodoma","Nala"
"dodoma","Dodoma","Ntyuka"
"dodoma","Dodoma","Nzuguni"
"dodoma","Dodoma","Zuzu"
"dodoma","Dodoma CBD","Chamwino"
"dodoma","Dodoma CBD","Dodoma Makulu"
"dodoma","Dodoma CBD","Hazina"
"dodoma","Dodoma CBD","Ihumwa"
"dodoma","Dodoma CBD","Kikuyu Kaskazini"
"dodoma","Dodoma CBD","Kikuyu Kusini"
"dodoma","Dodoma CBD","Kilimani"
"dodoma","Dodoma CBD","Kiwanja Cha Ndege"
"dodoma","Dodoma CBD","Kizota"
"dodoma","Dodoma CBD","Madukani"
"dodoma","Dodoma CBD","Majengo"
"dodoma","Dodoma CBD","Makole"
"dodoma","Dodoma CBD","Matumbulu"
"dodoma","Dodoma CBD","Miyuji"
"dodoma","Dodoma CBD","Mkonze"
"dodoma","Dodoma CBD","Ng'onng'onha"
"dodoma","Dodoma CBD","Nkuhungu"
"dodoma","Dodoma CBD","Tambukareli"
"dodoma","Dodoma CBD","Uhuru"
"dodoma","Dodoma CBD","Viwandani"
"dodoma","Kondoa","Bereko"
"dodoma","Kondoa","Bolisa"
"dodoma","Kondoa","Bumbuta"
"dodoma","Kondoa","Busi"
"dodoma","Kondoa","Changaa"
"dodoma","Kondoa","Chemchem"
"dodoma","Kondoa","Haubi"
"dodoma","Kondoa","Hondomairo"
"dodoma","Kondoa","Itaswi"
"dodoma","Kondoa","Itololo"
"dodoma","Kondoa","Kalamba"
"dodoma","Kondoa","Keikei"
"dodoma","Kondoa","Kikilo"
"dodoma","Kondoa","Kikore"
"dodoma","Kondoa","Kilimani"
"dodoma","Kondoa","Kingale"
"dodoma","Kondoa","Kinyasi"
"dodoma","Kondoa","Kisese"
"dodoma","Kondoa","Kolo"
"dodoma","Kondoa","Kondoa Mjini"
"dodoma","Kondoa","Kwadelo"
"dodoma","Kondoa","Masange"
"dodoma","Kondoa","Mnenia"
"dodoma","Kondoa","Pahi"
"dodoma","Kondoa","Salanka"
"dodoma","Kondoa","Serya"
"dodoma","Kondoa","Soera"
"dodoma","Kondoa","Suruke"
"dodoma","Kondoa","Thawi"
"dodoma","Kongwa","Chamkoroma"
"dodoma","Kongwa","Chitego"
"dodoma","Kongwa","Chiwe"
"dodoma","Kongwa","Hogoro"
"dodoma","Kongwa","Iduo"
"dodoma","Kongwa","Kibaigwa"
"dodoma","Kongwa","Kongwa"
"dodoma","Kongwa","Lenjulu"
"dodoma","Kongwa","Makawa"
"dodoma","Kongwa","Matongoro"
"dodoma","Kongwa","Mkoka"
"dodoma","Kongwa","Mlali"
"dodoma","Kongwa","Mtanana"
"dodoma","Kongwa","Nghumbi"
"dodoma","Kongwa","Ngomai"
"dodoma","Kongwa","Njoge"
"dodoma","Kongwa","Pandambili"
"dodoma","Kongwa","Sagara"
"dodoma","Kongwa","Sejeli"
"dodoma","Kongwa","Songambele"
"dodoma","Kongwa","Ugogoni"
